random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.2859701356784057
0,0,0.10,0.7789377317635122
0,0,0.15,0.9554512882779951
0,0,0.20,0.8879937948320775
0,0,0.25,0.9235276761759795
0,0,0.30,0.924044062583728
0,0,0.35,0.9570273542250426
0,0,0.40,0.9662038384832914
0,0,0.45,0.9393858749399869
0,0,0.50,0.9696514865470638
0,0,0.55,0.9674877438589801
0,0,0.60,0.9585240038915861
0,0,0.65,0.9521229010991269
0,0,0.70,0.9687706631139971
0,0,0.75,0.9728833660989284
0,0,0.80,0.9875726711253447
0,0,0.85,0.9683956715810083
0,0,0.90,0.9919136995512954
0,0,0.95,0.9846426070898827
0,1,0.05,0.9596470853273275
0,1,0.10,-0.2093827510045545
0,1,0.15,0.9610530895986639
0,1,0.20,0.9272940735178843
0,1,0.25,0.14451258843968584
0,1,0.30,0.9771218446317468
0,1,0.35,0.7699221472784424
0,1,0.40,0.9269547046832676
0,1,0.45,0.9479382182096576
0,1,0.50,0.9708588782055835
0,1,0.55,0.9706285221422891
0,1,0.60,0.9621718156788003
0,1,0.65,0.9801299919904948
0,1,0.70,0.9720107336484827
0,1,0.75,0.9878678460718103
0,1,0.80,0.9648446435169336
0,1,0.85,0.9905422734495846
0,1,0.90,0.9788378407110432
0,1,0.95,0.9840853549203795
0,2,0.05,-3.0962283734072935
0,2,0.10,0.8458183538695654
0,2,0.15,0.7546841031948217
0,2,0.20,0.9805052038269334
0,2,0.25,0.9506052590042289
0,2,0.30,0.9619884180795505
0,2,0.35,0.48753267066142536
0,2,0.40,0.9569887572065974
0,2,0.45,0.9725584387670738
0,2,0.50,0.9427393894923826
0,2,0.55,0.9682618893316921
0,2,0.60,0.9321794638239709
0,2,0.65,0.9848735456410153
0,2,0.70,0.9647230978310873
0,2,0.75,0.9747611081027241
0,2,0.80,0.9657819424903301
0,2,0.85,0.9806460973018658
0,2,0.90,0.9674875392691893
0,2,0.95,0.9604130496440407
0,3,0.05,-3.534050657733406
0,3,0.10,0.7558758200587448
0,3,0.15,0.8519445487012268
0,3,0.20,0.6959299288063656
0,3,0.25,0.8362799809444192
0,3,0.30,0.9187427973073872
0,3,0.35,0.9362441686485649
0,3,0.40,0.9106713605568719
0,3,0.45,0.9236478181067864
0,3,0.50,0.9677072604101117
0,3,0.55,0.9471777290220176
0,3,0.60,0.9486660248203594
0,3,0.65,0.9839669833384957
0,3,0.70,0.967351319583537
0,3,0.75,0.9720181254770868
0,3,0.80,0.9699331133277499
0,3,0.85,0.9778483645723943
0,3,0.90,0.9870022687939372
0,3,0.95,0.9817336380125222
0,4,0.05,-0.4625238606129982
0,4,0.10,-0.9578900419532881
0,4,0.15,0.8541814133219995
0,4,0.20,0.8855462938910204
0,4,0.25,0.9805845948588191
0,4,0.30,0.8380692893447895
0,4,0.35,0.8834275074111718
0,4,0.40,0.9423638800080094
0,4,0.45,0.9720465132609867
0,4,0.50,0.9764348275044421
0,4,0.55,0.9197554737145095
0,4,0.60,0.9727315911714761
0,4,0.65,0.9639924506150493
0,4,0.70,0.9601208080266671
0,4,0.75,0.9450786942531958
0,4,0.80,0.9759235397375694
0,4,0.85,0.982937701401663
0,4,0.90,0.9780287880573653
0,4,0.95,0.9823500425725228
0,5,0.05,0.8970911900334869
0,5,0.10,-0.8860818476203545
0,5,0.15,0.2729307982527661
0,5,0.20,0.9378556119022292
0,5,0.25,0.9563635425665404
0,5,0.30,0.9692243053532165
0,5,0.35,0.9379151258391263
0,5,0.40,0.9279159082883901
0,5,0.45,0.9567085514624191
0,5,0.50,0.9644429643324471
0,5,0.55,0.9657375090052845
0,5,0.60,0.964888818559378
0,5,0.65,0.9209868414808201
0,5,0.70,0.95907729267542
0,5,0.75,0.9831852483654536
0,5,0.80,0.9861729999813723
0,5,0.85,0.9878902938915016
0,5,0.90,0.9837175429492826
0,5,0.95,0.97826531621412
0,6,0.05,0.9543764161710683
0,6,0.10,0.366310044992915
0,6,0.15,0.7851739873742195
0,6,0.20,0.7030482278878574
0,6,0.25,0.9072200082752708
0,6,0.30,0.9579040300090625
0,6,0.35,0.9493393130569948
0,6,0.40,0.9024000016450123
0,6,0.45,0.9723489926837876
0,6,0.50,0.9697913590037983
0,6,0.55,0.986094781988821
0,6,0.60,0.9775072345850625
0,6,0.65,0.980919192367859
0,6,0.70,0.9562102897521916
0,6,0.75,0.9633947875964537
0,6,0.80,0.9648270873206883
0,6,0.85,0.9815762900292685
0,6,0.90,0.9802653098982531
0,6,0.95,0.974379338778096
0,7,0.05,0.7532048199133416
0,7,0.10,0.8676469538318714
0,7,0.15,0.6633407510229832
0,7,0.20,0.9405142032132707
0,7,0.25,0.8607396673606716
0,7,0.30,0.9115327783919809
0,7,0.35,0.96690274209999
0,7,0.40,0.9518940327185454
0,7,0.45,0.9736281502709586
0,7,0.50,0.949678879305842
0,7,0.55,0.9766603922589627
0,7,0.60,0.9644947006303384
0,7,0.65,0.9753587613287578
0,7,0.70,0.9685499754817231
0,7,0.75,0.9628573367331014
0,7,0.80,0.9775901452449813
0,7,0.85,0.96940485870957
0,7,0.90,0.9732948828873375
0,7,0.95,0.9925398718080509
0,8,0.05,-2.1066057212245224
0,8,0.10,-0.37019965284523315
0,8,0.15,0.8237696511476491
0,8,0.20,0.9218869081641401
0,8,0.25,0.9192508180744784
0,8,0.30,0.7451465323533293
0,8,0.35,0.9297511511536164
0,8,0.40,0.9237126509234808
0,8,0.45,0.9688579242057571
0,8,0.50,0.9303353992744645
0,8,0.55,0.9059784245628518
0,8,0.60,0.950682911075988
0,8,0.65,0.9790286121732922
0,8,0.70,0.9514121397477467
0,8,0.75,0.9862865870636404
0,8,0.80,0.9782484303344366
0,8,0.85,0.9765120977721022
0,8,0.90,0.9768322166003597
0,8,0.95,0.9761326881046178
0,9,0.05,0.978309866667308
0,9,0.10,0.9156752994627413
0,9,0.15,0.7270220248244869
0,9,0.20,0.8782489714634336
0,9,0.25,0.9549893966502387
0,9,0.30,0.9645860131682994
0,9,0.35,0.8033890792981339
0,9,0.40,0.9615106089905049
0,9,0.45,0.924319356009869
0,9,0.50,0.9783707085017397
0,9,0.55,0.9267573254223364
0,9,0.60,0.9376640242917688
0,9,0.65,0.9451286329823543
0,9,0.70,0.9827670711828508
0,9,0.75,0.9876946543311084
0,9,0.80,0.9813887789676964
0,9,0.85,0.9535029742053526
0,9,0.90,0.9567654707472885
0,9,0.95,0.9905502624439578
1,0,0.05,-2.459235124798323
1,0,0.10,0.9038973244343677
1,0,0.15,0.7401439167893051
1,0,0.20,0.9413364386843819
