random_seed,split_seed,sample_ratio,r2
0,0,0.05,-0.6744141984066732
0,0,0.10,0.5686719561943783
0,0,0.15,0.7264364924600133
0,0,0.20,0.8809623169998027
0,0,0.25,0.9577722145903368
0,0,0.30,0.9076701417538385
0,0,0.35,0.8437491471279641
0,0,0.40,0.7926407153599112
0,0,0.45,0.8645853808384247
0,0,0.50,0.8918503549275971
0,0,0.55,0.9310055394333978
0,0,0.60,0.8934382328484383
0,0,0.65,0.9300414736805458
0,0,0.70,0.8466469938150503
0,0,0.75,0.9499249686411911
0,0,0.80,0.8789127626193775
0,0,0.85,0.9238992927036265
0,0,0.90,0.8976247937869383
0,0,0.95,0.9014871436870016
0,1,0.05,0.6057681278858232
0,1,0.10,-0.3483099923726811
0,1,0.15,0.939480198071071
0,1,0.20,0.9294413124779322
0,1,0.25,0.873895703046569
0,1,0.30,0.8207953223516542
0,1,0.35,0.8585658139223724
0,1,0.40,0.9497021322942553
0,1,0.45,0.9180833059090306
0,1,0.50,0.9408889901058902
0,1,0.55,0.8988310250489536
0,1,0.60,0.9214208215747999
0,1,0.65,0.8736003355250856
0,1,0.70,0.9193953901715354
0,1,0.75,0.9570111773206672
0,1,0.80,0.9679171678812217
0,1,0.85,0.9506080637306422
0,1,0.90,0.8299463368305176
0,1,0.95,0.9473734668869429
0,2,0.05,0.1971151048398967
0,2,0.10,-0.586910233527556
0,2,0.15,0.7888582121607268
0,2,0.20,0.9083161586510959
0,2,0.25,0.9140654017889915
0,2,0.30,0.9642754313165406
0,2,0.35,0.9504179016154308
0,2,0.40,0.9291736908460764
0,2,0.45,0.92292221268426
0,2,0.50,0.8609690905066557
0,2,0.55,0.8879071600007928
0,2,0.60,0.94506946808048
0,2,0.65,0.9440558833464314
0,2,0.70,0.8945676118179525
0,2,0.75,0.9495249258094592
0,2,0.80,0.9647873865156182
0,2,0.85,0.9206214583431998
0,2,0.90,0.9166925612617253
0,2,0.95,0.9594208255759002
0,3,0.05,0.8580451443525775
0,3,0.10,0.4641517839636149
0,3,0.15,-0.09567693515519138
0,3,0.20,0.8792262679292686
0,3,0.25,0.7798488940768316
0,3,0.30,0.9110664633010808
0,3,0.35,0.8347622967041854
0,3,0.40,0.9213098275801679
0,3,0.45,0.8462715120595821
0,3,0.50,0.926107560177566
0,3,0.55,0.8974996093227765
0,3,0.60,0.8886131181193575
0,3,0.65,0.946750571892894
0,3,0.70,0.8931536591874654
0,3,0.75,0.9284677356705017
0,3,0.80,0.9391992189432508
0,3,0.85,0.9462773249727431
0,3,0.90,0.9306867026201067
0,3,0.95,0.8997786408486169
0,4,0.05,0.762825418899701
0,4,0.10,0.8040499317723864
0,4,0.15,0.8974784813728577
0,4,0.20,0.7694604905707519
0,4,0.25,0.9579219954988333
0,4,0.30,0.9208038577235845
0,4,0.35,0.9595551927050907
0,4,0.40,0.8810998232126115
0,4,0.45,0.9454966235305732
0,4,0.50,0.9337293819582257
0,4,0.55,0.9443283148477029
0,4,0.60,0.940158051746115
0,4,0.65,0.9280547974000597
0,4,0.70,0.9244928564460817
