random_seed,split_seed,sample_ratio,r2
0,0,0.05,-0.06025633601153624
0,0,0.10,0.041734627852965
0,0,0.15,0.3494198066783981
0,0,0.20,0.5871552954088486
0,0,0.25,0.610890796033349
0,0,0.30,0.7759556243668657
0,0,0.35,0.8339505645149511
0,0,0.40,0.8659607884100982
0,0,0.45,0.8329432072719806
0,0,0.50,0.8953427750696655
0,0,0.55,0.8640726601961174
0,0,0.60,0.9147286580219934
0,0,0.65,0.8075522807036385
0,0,0.70,0.8822651273556866
0,0,0.75,0.8574738102314892
0,0,0.80,0.7852321399684972
0,0,0.85,0.8801643281718513
0,0,0.90,0.9147876126848427
0,0,0.95,0.8529050029017575
0,1,0.05,-15.710524032978487
0,1,0.10,0.5154513465299893
0,1,0.15,-0.6881717557847371
0,1,0.20,0.7116655196821254
0,1,0.25,0.4139258738370388
0,1,0.30,0.41192347215674385
0,1,0.35,0.6716766266356218
0,1,0.40,0.7674291210456481
0,1,0.45,0.8026613131173821
0,1,0.50,0.8413863116337794
0,1,0.55,0.8152505032505604
0,1,0.60,0.862205642078736
0,1,0.65,0.8895570101958372
0,1,0.70,0.8511889394285367
0,1,0.75,0.8821471561378821
0,1,0.80,0.8572364442223805
0,1,0.85,0.8408434762807742
0,1,0.90,0.893631485062108
0,1,0.95,0.875727178652254
0,2,0.05,-1.6024967597468143
0,2,0.10,0.5295272426551128
0,2,0.15,0.7056642552874391
0,2,0.20,0.207586103174627
0,2,0.25,0.8823113394742503
0,2,0.30,0.7421207367479663
0,2,0.35,0.27932060032314
0,2,0.40,0.8477021041942641
0,2,0.45,0.8811516376975917
0,2,0.50,0.791027708449046
0,2,0.55,0.8883103761029305
0,2,0.60,0.8203384772705841
0,2,0.65,0.8594560552007979
0,2,0.70,0.8663623775608413
0,2,0.75,0.8226351212210412
0,2,0.80,0.8199407304829129
0,2,0.85,0.8640021726545515
0,2,0.90,0.8712170136100919
0,2,0.95,0.838509430893724
0,3,0.05,-11.380762676073656
0,3,0.10,-0.29420283555298776
0,3,0.15,0.4432855996862862
0,3,0.20,-0.13059188344725436
0,3,0.25,0.660766789074815
0,3,0.30,0.6930763240226758
0,3,0.35,0.8185192429339564
0,3,0.40,0.9025937231059972
0,3,0.45,0.9071603576760787
0,3,0.50,0.807792691565083
0,3,0.55,0.8959507472729118
0,3,0.60,0.6672000485416119
0,3,0.65,0.9086886348246129
0,3,0.70,0.8454260249210004
0,3,0.75,0.8774915934410565
0,3,0.80,0.8917900393206789
0,3,0.85,0.8831640970989463
0,3,0.90,0.8932457365169718
0,3,0.95,0.8647477122567834
0,4,0.05,-0.7620892079564541
0,4,0.10,-0.006727419585013772
0,4,0.15,-0.08927679085252582
0,4,0.20,0.5756501414885186
0,4,0.25,-0.2810101215277352
0,4,0.30,0.41014905478597763
0,4,0.35,0.6948387821460104
0,4,0.40,0.9347792094016243
0,4,0.45,0.761298741186131
0,4,0.50,0.8728120284589533
0,4,0.55,0.5769004659536039
0,4,0.60,0.8109778295598138
0,4,0.65,0.9065401738149631
0,4,0.70,0.8869170144168528
0,4,0.75,0.8651754738081968
0,4,0.80,0.9153518380654087
0,4,0.85,0.8894111900748188
0,4,0.90,0.9114693613933846
0,4,0.95,0.8345250655393401
0,5,0.05,0.18945658488059536
0,5,0.10,-0.7505964265187588
0,5,0.15,0.31062137718098226
0,5,0.20,0.2665835561373754
0,5,0.25,0.6465735035967635
0,5,0.30,0.5212791737401647
0,5,0.35,0.5034358328969477
0,5,0.40,0.8303795772689434
0,5,0.45,0.8109423013702534
0,5,0.50,0.8717281630193129
0,5,0.55,0.8795134158391242
0,5,0.60,0.8758999681686042
0,5,0.65,0.849041466143805
0,5,0.70,0.8149509688685157
0,5,0.75,0.8213987205473972
0,5,0.80,0.8933678525000102
0,5,0.85,0.8242098287943654
0,5,0.90,0.8236120991705346
0,5,0.95,0.9177271272863468
0,6,0.05,0.5963533844633383
0,6,0.10,-0.2546777617944518
0,6,0.15,0.5637467361266173
0,6,0.20,0.5018899073580492
0,6,0.25,0.10062173997653001
0,6,0.30,0.1584200827730654
0,6,0.35,0.8878710093719866
0,6,0.40,0.7064054189310915
0,6,0.45,0.9386436458807141
0,6,0.50,0.5488636401446689
0,6,0.55,0.6697838543596069
0,6,0.60,0.753396885622202
0,6,0.65,0.8967219232139568
0,6,0.70,0.8418547346701615
0,6,0.75,0.9274852566170326
0,6,0.80,0.8457087956789938
0,6,0.85,0.9166748036637904
0,6,0.90,0.926216510284881
0,6,0.95,0.8342717829778169
0,7,0.05,-0.045867069954419026
0,7,0.10,0.7351687847702721
0,7,0.15,0.024560184465802215
0,7,0.20,0.5978187448033113
0,7,0.25,0.6783920210962566
0,7,0.30,0.438070252496381
0,7,0.35,0.7682199634128452
0,7,0.40,0.4115422975035211
0,7,0.45,0.9001732550855714
0,7,0.50,0.7916782026189326
0,7,0.55,0.9041083710499447
0,7,0.60,0.8418051932179031
0,7,0.65,0.8663562146637747
0,7,0.70,0.6854642936783314
0,7,0.75,0.8196962729066557
0,7,0.80,0.931261906239158
0,7,0.85,0.8777865063927746
0,7,0.90,0.8484745099481072
0,7,0.95,0.9180386756472121
0,8,0.05,-1.0236960557988626
0,8,0.10,0.4282790588640467
0,8,0.15,0.810878555503475
0,8,0.20,0.35529500244611134
0,8,0.25,0.7837191642566339
0,8,0.30,0.32263685111540874
0,8,0.35,0.7446659724569308
0,8,0.40,0.7911388436791571
0,8,0.45,0.9318153106281215
0,8,0.50,0.90242338253291
0,8,0.55,0.8728704706181729
0,8,0.60,0.8700041807750698
0,8,0.65,0.7511101165608038
0,8,0.70,0.8201521890054216
0,8,0.75,0.8849398846419264
0,8,0.80,0.9436890212382292
0,8,0.85,0.8552060677513187
0,8,0.90,0.9350128407175136
0,8,0.95,0.8507020834940354
0,9,0.05,-65.87243871403872
0,9,0.10,-0.06528308118126169
0,9,0.15,0.47677445772191196
0,9,0.20,0.360056762673028
0,9,0.25,0.48500099757823756
0,9,0.30,0.7392935505637317
0,9,0.35,0.49136509138603024
0,9,0.40,0.8818785597217149
0,9,0.45,0.8647196352290574
0,9,0.50,0.8752661702627487
0,9,0.55,0.8704985543479503
0,9,0.60,0.7754993099601128
0,9,0.65,0.809727260568909
0,9,0.70,0.8746499870961061
0,9,0.75,0.8024124287284223
0,9,0.80,0.8693707815524561
0,9,0.85,0.8534337195765114
0,9,0.90,0.8790186964413472
0,9,0.95,0.8645706435784646
1,0,0.05,-0.25699566796797213
1,0,0.10,-0.1580456865861648
1,0,0.15,-0.08834098689705128
1,0,0.20,0.9190243101174902
1,0,0.25,0.9219902433699791
1,0,0.30,0.843486313135293
1,0,0.35,0.9024590542220846
1,0,0.40,0.892235808833583
1,0,0.45,0.9391111527758639
1,0,0.50,0.895146273563062
1,0,0.55,0.7535156680073317
1,0,0.60,0.7682008908704172
1,0,0.65,0.9268401046678907
1,0,0.70,0.7780371082119542
1,0,0.75,0.8163126887381198
1,0,0.80,0.8887891734257154
1,0,0.85,0.9188977646125172
1,0,0.90,0.8940647355612964
1,0,0.95,0.9277995680958556
1,1,0.05,-27.10929012441698
1,1,0.10,0.855544363415967
1,1,0.15,0.745952367020194
1,1,0.20,0.5505101361079185
1,1,0.25,0.7698260765169957
1,1,0.30,0.8989676273308269
1,1,0.35,0.8494583580313863
1,1,0.40,0.9173278617514421
1,1,0.45,0.8606103118596611
1,1,0.50,0.7284790769219829
1,1,0.55,0.8362111735668575
1,1,0.60,0.8876692925872922
1,1,0.65,0.899144624952848
1,1,0.70,0.8052815053777052
1,1,0.75,0.8544337970160623
1,1,0.80,0.9290413571258787
1,1,0.85,0.8780679503110177
1,1,0.90,0.8061152081254574
1,1,0.95,0.8721408352103937
1,2,0.05,-1.3987815569695359
1,2,0.10,-1.1707606972057079
1,2,0.15,0.39834277040508936
1,2,0.20,0.22465627082839512
1,2,0.25,0.5053286117766738
1,2,0.30,0.6912977054035161
1,2,0.35,0.8586195385149535
1,2,0.40,0.7236128326518203
1,2,0.45,0.8344116596132467
1,2,0.50,0.7657606528536504
1,2,0.55,0.9184112790812222
1,2,0.60,0.8974730782589212
1,2,0.65,0.8857611755482603
1,2,0.70,0.7916837089654338
1,2,0.75,0.9208464492213321
1,2,0.80,0.9229630554386188
1,2,0.85,0.7757128231260206
1,2,0.90,0.9300320104416571
1,2,0.95,0.8876094681470691
1,3,0.05,0.2468670569750685
1,3,0.10,0.38108069525614985
1,3,0.15,-0.12510335239043102
1,3,0.20,0.21665566589491592
1,3,0.25,0.8870559221373785
1,3,0.30,0.9321508419129005
1,3,0.35,0.937083211848407
1,3,0.40,0.7884353793874456
1,3,0.45,0.7816008986895419
1,3,0.50,0.870889006207544
1,3,0.55,0.8605552563054917
1,3,0.60,0.8015841103290308
1,3,0.65,0.8355223973117891
1,3,0.70,0.9229886894497069
1,3,0.75,0.7749817105582278
1,3,0.80,0.9160889278863056
1,3,0.85,0.8890756941699208
1,3,0.90,0.9383106089495361
1,3,0.95,0.9435097565635742
1,4,0.05,0.7929532002965745
1,4,0.10,0.6724394887974374
1,4,0.15,0.19666465779743492
1,4,0.20,0.6931785555159979
1,4,0.25,0.9112595182347102
1,4,0.30,0.8709764699273845
1,4,0.35,0.24202118631455216
1,4,0.40,0.9260828364254289
1,4,0.45,0.874669968497866
1,4,0.50,0.8924852904596277
1,4,0.55,0.9315777012151633
1,4,0.60,0.6526547611220748
1,4,0.65,0.9145331959527642
1,4,0.70,0.8554829068912593
1,4,0.75,0.8981474372764093
1,4,0.80,0.9004750642277408
1,4,0.85,0.8814450309690596
1,4,0.90,0.8885475472038892
1,4,0.95,0.8761130997423472
1,5,0.05,-0.12610169125183845
1,5,0.10,0.46838801151746223
1,5,0.15,0.5614089720994699
1,5,0.20,0.6352460708339375
1,5,0.25,0.8740913970179814
1,5,0.30,0.32971788250730427
1,5,0.35,0.4973926700716992
1,5,0.40,0.8308870646567729
1,5,0.45,0.8727260404364595
1,5,0.50,0.8561992675294992
1,5,0.55,0.8429542004277382
1,5,0.60,0.836834902495477
1,5,0.65,0.935269748660988
1,5,0.70,0.8172781966709407
1,5,0.75,0.8521791330522251
1,5,0.80,0.8811330628964131
1,5,0.85,0.9076437229732007
1,5,0.90,0.9224445889084071
1,5,0.95,0.8779736997206746
1,6,0.05,-0.8300000723942498
1,6,0.10,-0.12271245054725188
1,6,0.15,0.5269867168088349
1,6,0.20,-0.15177457186382615
1,6,0.25,0.430599538346244
1,6,0.30,0.8763908025303238
1,6,0.35,0.9080986466983889
1,6,0.40,0.8350189070968476
1,6,0.45,0.9144441837468643
1,6,0.50,0.44821212713582337
1,6,0.55,0.8598596646998238
1,6,0.60,0.9297307220280026
1,6,0.65,0.9378894397776073
1,6,0.70,0.840245100813211
1,6,0.75,0.8153476296981292
1,6,0.80,0.833974483073744
1,6,0.85,0.2663435256472766
1,6,0.90,0.8855965595902346
1,6,0.95,0.8200735810377724
1,7,0.05,0.031513919983703786
1,7,0.10,-0.3891596684532568
1,7,0.15,0.6669646326607452
1,7,0.20,0.7877882021091138
1,7,0.25,0.4663397328951677
1,7,0.30,0.25037747596942017
1,7,0.35,0.9323373006526384
1,7,0.40,0.8765624318596346
1,7,0.45,0.8452242128990883
1,7,0.50,0.9024810180578942
1,7,0.55,0.8304967371410849
1,7,0.60,0.8949679683195588
1,7,0.65,0.831453896317597
1,7,0.70,0.8455129071987233
1,7,0.75,0.9121158070144318
1,7,0.80,0.8701884833799313
1,7,0.85,0.835479344482259
1,7,0.90,0.8473014296633935
1,7,0.95,0.9013469109922007
1,8,0.05,-0.05860683504758257
1,8,0.10,0.32454469786026385
1,8,0.15,0.4576399592932583
1,8,0.20,0.727393877746444
1,8,0.25,0.9079784924685314
1,8,0.30,0.5788281527090808
1,8,0.35,0.9082386386680364
1,8,0.40,0.8864525317779184
1,8,0.45,0.8345362339947479
1,8,0.50,0.8573009737909323
1,8,0.55,0.9196101443911574
1,8,0.60,0.765111614399925
1,8,0.65,0.8669686325188369
1,8,0.70,0.8107021282281062
1,8,0.75,0.857067692703523
1,8,0.80,0.8597361842918214
1,8,0.85,0.8270978011395114
1,8,0.90,0.8848998652021223
1,8,0.95,0.7867070354980397
1,9,0.05,-0.763469854249849
1,9,0.10,-0.4514204016185792
1,9,0.15,0.7902147938405018
1,9,0.20,0.7480726307696504
1,9,0.25,0.5171686736087074
1,9,0.30,0.8517237291161871
1,9,0.35,0.9158853132282339
1,9,0.40,0.9319070113902256
1,9,0.45,0.8718408687715812
1,9,0.50,0.8159333975499363
1,9,0.55,0.8427690563770143
1,9,0.60,0.8728879160180036
1,9,0.65,0.9064148319687954
1,9,0.70,0.8583068891205174
1,9,0.75,0.8479065167126574
1,9,0.80,0.896877363127505
1,9,0.85,0.8682226530313206
1,9,0.90,0.854100745167978
1,9,0.95,0.9007000310264498
2,0,0.05,0.4352013315700609
2,0,0.10,0.4789275354135113
2,0,0.15,0.31050584588994046
2,0,0.20,0.8134465278247307
2,0,0.25,0.4299467630841243
2,0,0.30,0.5509540214327977
2,0,0.35,0.8248413980255394
2,0,0.40,0.1935242613983359
2,0,0.45,0.9099421924148076
2,0,0.50,0.4885037301257211
2,0,0.55,0.89502033845076
2,0,0.60,0.8771285729992955
2,0,0.65,0.9112356977001096
2,0,0.70,0.9011078559618572
2,0,0.75,0.8804384817834496
2,0,0.80,0.8991451956996814
2,0,0.85,0.8521398529052501
2,0,0.90,0.8976548485295768
2,0,0.95,0.9037832999381497
2,1,0.05,-3.875757564981921
2,1,0.10,0.6021559551050701
2,1,0.15,0.5517666910197305
2,1,0.20,0.8484079070011313
2,1,0.25,0.804224958429328
2,1,0.30,0.08235932354875675
2,1,0.35,0.7145226306645278
2,1,0.40,0.8912046617245628
2,1,0.45,0.8225308972749796
2,1,0.50,0.2891570536967901
2,1,0.55,0.8588166657742796
2,1,0.60,0.8663930157356484
2,1,0.65,0.917648391499644
2,1,0.70,0.9035460124435326
2,1,0.75,0.8398906286872583
2,1,0.80,0.9033835154293066
2,1,0.85,0.8953523853785021
2,1,0.90,0.9074438136076103
2,1,0.95,0.8451430139449245
2,2,0.05,-7.982226129799926
